Image;Message;Description
findings/diskos.jpg;Anakalypses to Disko tis Faistoy!!!;O Diskos tis Faistoy einai ena arxaiologiko eyrima apo ti Minoiki poli tis Faistoy sti notia Kriti kai xronologeitai pithanos ston 17o aiona p.X.. Apotelei ena apo ta gnostotera mystiria tis arxaiologias, afoy o skopos tis kataskeyis toy kai to noima ton oson anagrafontai se ayton paramenoyn agnosta. O diskos anakalyfthike stis 3 Ioylioy 1908 apo ton Italo arxaiologo Loyitzi Pernie (Luigi Pernier) kai fylassetai simera sto Arxaiologiko Moyseio Irakleioy. 
findings/kosmima.jpg;Anakalypses to Kosmima ton Malion!!!;To xryso kosmima ton melisson poy filoxeneitai sto Arxaiologiko Moyseio Irakleioy, einai diasimo arxaiologiko eyrima apo ton Xrysolakko, ton tafiko peribolo tis nekropolis ton Malion.
findings/ruto.jpg;Anakalypses to Ryto tis Zakroy!!!;To aggeio brethike sto thisayrofylakio toy anaktoroy tis Zakroy mazi me alla monadika sto eidos toys teletoyrgika skeyi tis neoanaktorikis epoxis kai apotelei xaraktiristiko paradeigma tis efeyretikotitas kai kalaisthisias ton Minoiton texniton.
findings/ring.jpg;Anakalypses to Daxtylidi toy Minoa !!!;To «Daxtylidi toy Minoa», ena apo ta megalytera kai spaniotera xrysa sfragidika ston kosmo, theoreitai apo ta kalytera deigmata tis kritomykinaIkis sfragidikis. Ferei syntheti thriskeytiki parastasi, poy apeikonizei morfes oi opoies entassontai stin kritomykinaIki thematologia, dentrolatria me kathisti thea, oyrano, gi kai thalassa, me iero ploio poy exei morfi ippokampoy.
findings/snakes.jpg;Brikes ena agalma tis THeas ton Fidion!!!;Os i thea me ta fidia onomazetai o typos agalmatidioy poy brethike se anaskafes stoys Minoikoys arxaiologikoys topoys poy paroysiazei gynaika na krataei fidia. Ta agalmatida xronologoyntai ston 16o aiona p.X.. Liges plirofories exoyme gia tin ermineia ton agalmatidion. O Ebans syndeei tin thea ton ofeon me tin Aigyptiaki thea Oyatzet. Einai propompos tis kritikis Reas kai paroysiazei megali omoiotita me tin frygiki Kybeli kai tin efesia Artemida.
findings/fresco1_20.jpg;Fotografises tin Toixografia: Oi galazeis kyries!!!;Omorfes Minoitisses poy koybentiazoyn. Exoyn oraia foremata, symfona me ti moda tis epoxis, omorfa xtenismena mallia kai polytima kosmimata.
findings/fresco2_20.jpg;Fotografises tin Toixografia: Ta tayrokathapsia!!!;Ta tayrokathapsia itan ena agonisma poy synithizotan poly sta minoika xronia. Perilambane to piasimo toy tayroy apo ta kerata, to epikindyno alma sti raxi toy zooy kai telos to pidima sto edafos piso toy.
findings/fresco3_15.jpg;Fotografises tin Toixografia: Ta delfinia!!!;I toixografia ayti proerxetai apo to megaro tis basilissas. Delfinia kolympoyn anamesa se psaria, mesa sta kymata.
findings/fresco4_20.jpg;Fotografises tin Toixografia: O prigkipas me ta krina;Eikonizetai epiblitiki andriki morfi, poy badizei pros ta aristera se aprosdioristo erythro fonto. Foraei to typiko minoiko perizoma me fardia zoni, perideraio sto laimo kai ploysio kalymma kefalis diakosmimeno me krina kai ftera pagonioy. I stasi ton xerion toy deixnei oti isos eserne me to aristero toy xeri ena zoo i kapoio mythiko teras, grypa i sfigga. O neos onomasthike apo toys ereynites «prigkipas», giati theorithike oti apodidei to basilia-ierea, poy zoyse sto anaktoro tis Knosoy.!!!
findings/fresco5_15.jpg;Fotografises tin Toixografia: Pompi neon!!!;Neoi lambanoyn meros se thriskeytiki pompi kai feroyn aggeia me dora gia ti theotita i gia to basilia. I toixografia ayti kosmoyse ton legomeno «diadromo tis pompis» toy anaktoroy tis Knosoy.
findings/fresco6_15.jpg;Fotografises tin Toixografia: I pariziana!!!;Eikonizetai mia gynaika aristokratikis katagogis se thesi profil.  Onomastike «Pariziana» apo ton Άrthoyr Ebans, giati to 1903 (etos poy anakalyfthike) ta megala matia, ta katsara mallia, ta entona kokkina xeili kai i anasikomeni myti theoroyntan ta ideodi tis gynaikeias omorfias, ta opoia mono mia omorfi gynaika apo … to Parisi mporoyse na ta ensarkosei.
paths/knossosPalace.jpg; Eftases sto Anaktoro tis Knosoy!!!;To minoiko anaktoro einai o kyrios episkepsimos xoros tis Knosoy (i Knossoy), simantikis polis kata tin arxaiotita, me synexi zoi apo ta neolithika xronia eos ton 5o ai. Einai xtismeno sto lofo tis Kefalas, me eykoli prosbasi sti thalassa alla kai sto esoteriko tis Kritis. Kata tin paradosi, ypirxe i edra toy sofoy basilia Minoa. Synarpastikoi mythoi, toy Labyrinthoy me to Minotayro kai toy Daidaloy me ton Ikaro, syndeontai me to anaktoro tis Knossoy.
paths/phaistosPalace.jpg; Eftases sto Anaktoro tis Faistoy!!!; To Minoiko Anaktoro tis Faistoy brisketai stin notio-kentriki Kriti, stin pediada tis Mesaras, 55 xiliometra notia apo to Irakleio kai se mikri apostasi apo ton arxaiologiko xoro stin Agia Triada, ton arxaiologiko xoro sti Gortyna kai ta Matala. To minoiko anaktoro tis Faistoy antistoixei se akmaia poli poy, oxi tyxaia, anaptyxthike stin efori pediada tis Mesaras kata toys proIstorikoys xronoys, diladi apo to 6.000 p.X. peripoy mexri kai ton 1o p.X. aiona, opos epibebaionoyn ta arxaiologika eyrimata.
paths/maliaPalace.jpg; Eftases sto Anaktoro ton Malion!!!; Anatolika apo ta simerina Malia brisketai to minoiko anaktoro ton Malion. Einai to trito se megethos anaktoro tis minoikis Kritis kai einai xtismeno se mia topothesia pronomiaki, konta sti thalassa kai pano sto dromo poy syndeei tin anatoliki me tin kentriki Kriti. To anaktoro ton Malion kata ti mythologia xrisimeye san katoikia toy Sarpidona, aderfoy toy Minoa, kai protoxtizetai to 1900 p.X. O proYparxon isxyros oikismos, apo ton opoio sozontai synoikies gyro apo to anaktoro, metatrepetai etsi se anaktoriko kentro-poli.
paths/zakrosPalace.jpg; Eftases sto Anaktoro tis Zakroy!!!;To anaktoro tis Zakroy einai to tetarto se megethostis Minoikis Kritis. Briskotan se simantiko stratigiko simeio, se asfalismeno kolpisko, kai itan kentro emporikon antallagon me tis xores tis Anatolis, opos fainetai apo ta eyrimata (xayliodontes elefanta, fagentiani, xalkos klp).  To anaktoro apotelese to kentro dioikisis, thriskeias kai emporioy. To peristoixize i poli. Sto xoro den egine nea oikodomisi, ektos apo kapoies kalliergeies. 
